"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.8,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.3,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.6,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.4,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.2,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.6,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.2,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.1,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.1,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.4,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.8,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.5,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.4,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.3,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",4.9,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",4.8,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",2.7,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.6,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",2.5,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.4,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.5,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.5,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.4,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.5,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",4,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.7,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",2.4,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.4,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",1.8,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.2,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",1.7,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.5,
